Sample,Cohort,Ploidy_factor.MESOMICS,Morphology_factor.MESOMICS,Adaptive-response_factor.MESOMICS,CIMP-index_factor.MESOMICS,LF5.MESOMICS,LF6.MESOMICS,LF7.MESOMICS,LF8.MESOMICS,LF9.MESOMICS,LF10.MESOMICS
MESO_087_T,MESOMICS,-0.669691011,0.796485271,0.242236074,1.455079425,-0.592207768,1.034497129,-0.21772466,-0.41860541,-0.502882872,0.280660897
MESO_088_T,MESOMICS,-1.780615961,0.684956051,-0.999552574,-0.118145089,2.006513742,-1.472306,-0.177576284,0.585228835,-0.606420009,-0.522735981
MESO_089_T,MESOMICS,0.126299415,3.199378801,0.232241488,-0.861651371,-0.702408249,-0.783891078,-0.429032528,-0.284895157,0.343122605,-0.072574653
MESO_090_T,MESOMICS,-0.275583763,-0.317509248,2.198432794,-1.527112956,-0.832924491,0.730199137,-0.158828861,-0.477511585,0.409474165,0.016129189
MESO_091_T,MESOMICS,-0.607247654,0.037794307,-0.692517241,-2.13043953,0.421589983,-0.81602156,0.264070137,-0.212063934,0.765815597,1.366735218
MESO_092_T,MESOMICS,5.350771422,3.085998492,-1.255942442,2.112204046,-0.791359259,1.594185567,0.205491375,-1.636491258,-1.125695841,-2.684810876
MESO_093_T,MESOMICS,0.097151231,0.269380072,0.288914531,-1.443446159,-0.116263298,-0.960657093,-0.015277965,-0.479095423,0.284708916,-1.312655397
MESO_094_T1,MESOMICS,-0.469958855,-1.949937324,2.688194834,1.096643432,-0.428942231,-0.17706441,0.180996995,-0.368027662,0.41115523,0.147159833
MESO_095_T,MESOMICS,-0.512178966,-1.123941647,0.136837264,0.634141069,0.31416824,0.599523458,0.18364993,-0.417758286,0.590338986,0.178551733
MESO_097_T,MESOMICS,-0.575769158,-3.750225855,-2.688339668,-0.229159885,-0.526038344,0.478404348,-0.222058588,-0.321386102,0.473461646,-0.128934314
MESO_098_T,MESOMICS,3.40022574,-3.897508751,-1.216835215,0.154588415,-1.236042485,-3.450457742,-0.145536746,4.392743768,-1.242148397,-1.557833543
MESO_099_T,MESOMICS,-0.231045399,-2.343505677,1.2909155,1.844664879,-0.460484612,0.083483267,0.250520892,-0.523068755,0.390580268,0.244587496
MESO_100_T,MESOMICS,4.447114746,-2.616541997,-1.685720304,1.933261365,-0.368725019,0.665596023,1.403565102,2.930968029,0.709426685,-2.031984253
MESO_101_T,MESOMICS,-0.662299155,-3.213116644,-0.944202206,-0.454429951,1.066995505,0.60044076,0.401859233,-0.394083968,1.152938807,1.238927097
MESO_102_T,MESOMICS,8.615727717,-0.601206374,-0.782966614,-0.676285986,2.202129604,6.050615605,-6.570872563,1.23437673,0.419419895,-0.795161663
MESO_103_T,MESOMICS,1.759715587,-0.461823152,1.382559717,-1.020895567,-1.241768855,1.1568113,-0.695647498,-0.228371573,0.072207799,-0.071478521
MESO_104_T,MESOMICS,4.594114165,-2.600694553,-1.246440779,2.200921807,0.097222305,-1.243260009,1.387248344,0.650562536,-2.065744952,2.801090602
MESO_105_T,MESOMICS,-0.345630912,-2.284850136,-2.497172693,1.968077567,0.351839085,-0.097088998,0.373636099,-0.564941875,1.593868273,-0.985381119
MESO_106_T,MESOMICS,-0.452854103,-2.2351702,3.413516002,-0.743056558,-0.76001796,0.303614976,0.066130406,-0.38474013,0.325292732,0.111704437
MESO_107_T,MESOMICS,1.812716466,-3.271041037,0.000422138,1.76153308,-0.662878379,-1.341955939,0.044219355,0.052344999,0.259861978,0.236645284
MESO_108_T,MESOMICS,-4.405052021,-4.330780317,-0.593692038,-1.35062654,2.056797992,-0.131319993,-0.484641904,0.774185056,0.413612714,-0.563791007
MESO_109_T,MESOMICS,0.156322384,-2.833396132,-1.316645157,0.17133044,-0.439771617,-0.481399864,0.037799062,0.758478466,0.98278303,0.049072362
MESO_110_T,MESOMICS,-0.049776324,-2.589348794,-1.808926986,-0.702583552,-0.844831795,-0.239476383,-0.063867005,-0.54865013,-2.593236284,0.04723636
MESO_111_T,MESOMICS,-0.644979602,0.814315187,-2.511835217,-0.957309202,0.738258428,7.933899389,2.775556057,4.597977994,-4.115882968,0.388397967
MESO_112_T,MESOMICS,2.902579221,-2.947415452,-2.068168825,4.56181633,-1.400255902,-1.059131816,-1.150659585,2.438667212,-1.097081868,1.181455554
MESO_113_T,MESOMICS,-0.586217601,-2.693513825,0.024143099,-0.820087375,0.1413127,0.311494747,0.061891498,-0.37314481,0.314934765,1.156353706
MESO_114_T,MESOMICS,-0.772500752,-2.458199982,0.204186349,-0.013667618,-0.247480396,0.465817232,0.2539157,-0.522301378,1.262606846,0.48946967
MESO_115_T,MESOMICS,-1.928080116,0.930498247,-0.390813666,0.5949071,-0.828363819,0.975023484,-0.596863014,-0.835144578,0.183344677,-0.507415973
MESO_116_T,MESOMICS,-0.613349235,0.56221831,0.232703859,0.938639621,-0.127463791,0.710498987,-0.508301815,-0.368305045,0.247591739,-0.462091084
MESO_117_T,MESOMICS,-0.35536653,-1.737241875,-0.107614481,1.433723837,-0.691764043,0.282190689,-0.180541949,-0.408517829,0.325596107,0.284933924
MESO_118_T,MESOMICS,-0.673810908,-0.422559745,-2.177994348,0.107999525,-0.425529901,0.12456455,-0.26274321,-0.671093554,0.198841164,-0.404056771
MESO_119_T,MESOMICS,-0.945634493,0.931866249,0.009322957,1.316974084,-0.467413305,0.999305364,-0.489925268,-0.402425104,0.07319317,-0.028117571
MESO_120_T,MESOMICS,-0.663907152,-0.277035986,0.398175236,0.432051624,-0.273921031,0.680598463,-0.323239847,-0.342718126,0.282680894,-0.554033472
MESO_121_T,MESOMICS,-1.149038391,0.565685929,-0.65821835,1.670529722,1.182132449,-0.263435296,-0.305542739,0.299041704,-0.432357621,-0.053363271
MESO_122_T,MESOMICS,-0.386035253,-0.725981198,0.876551298,0.205676658,-0.340028183,0.122666956,0.240549399,-0.472709278,0.599919909,0.539324324
MESO_123_T,MESOMICS,-0.786898446,0.864118915,-1.069594293,1.066185082,0.308751933,-0.176845452,-0.129121459,-0.135749807,0.115652615,-1.235542588
MESO_124_T,MESOMICS,-0.427062571,-0.478497011,0.573169026,-0.385606377,-0.619053866,0.60597953,-0.006224368,-0.492181783,0.329560294,0.01328652
